L1	CLsat1	138.6	CLsat2	92.3	-46.3	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L2	CLsat1	144.3	CLsat2	95.4	-48.9	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L3	CLsat1	148.7	CLsat2	96.5	-52.2	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L4	CLsat1	134.8	CLsat2	87.9	-46.9	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L5	CLsat1	141.8	CLsat2	92.7	-49.1	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L6	CLsat1	144.2	CLsat2	93.3	-50.9	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L7	CLsat1	144.2	CLsat2	92.3	-51.9	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L8	CLsat1	141.9	CLsat2	92.1	-49.8	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L9	CLsat1	140.4	CLsat2	90.8	-49.6	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L10	CLsat1	132.6	CLsat2	89.9	-42.7	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L11	CLsat1	148.3	CLsat2	96.8	-51.5	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L12	CLsat1	135.5	CLsat2	88	-47.5	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L13	CLsat1	150.4	CLsat2	97.2	-53.2	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L14	CLsat1	147.1	CLsat2	96	-51.1	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L15	CLsat1	149.7	CLsat2	98.5	-51.2	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L16	CLsat1	150.2	CLsat2	97.6	-52.6	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L17	CLsat1	140.7	CLsat2	95.5	-45.2	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L18	CLsat1	129.3	CLsat2	88.7	-40.6	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L19	CLsat4	121	CLsat1	79.5	-41.5	UNIQUE_SEED_WITH_COMPETITOR	CLsat4
L20	CLsat4	124.5	CLsat1	82.8	-41.7	UNIQUE_SEED_WITH_COMPETITOR	CLsat4
L21	CLsat1	155.2	CLsat2	95.3	-59.9	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L22	CLsat1	161.2	CLsat2	109.4	-51.8	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L23	CLsat1	149.2	CLsat2	98.3	-50.9	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L24	CLsat1	131.4	CLsat2	84.1	-47.3	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L25	CLsat1	148.5	CLsat2	96.9	-51.6	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L26	CLsat1	136.3	CLsat2	95.3	-41	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L27	CLsat1	142.8	CLsat2	94.2	-48.6	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L28	CLsat1	144.4	CLsat2	93.7	-50.7	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L29	CLsat1	146.5	CLsat2	92.5	-54	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L30	CLsat1	147.6	CLsat2	92.4	-55.2	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L31	CLsat1	139.9	CLsat2	89.8	-50.1	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L32	CLsat1	136.4	CLsat2	88.1	-48.3	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L33	CLsat1	129.9	CLsat2	82.5	-47.4	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L34	CLsat1	142.3	CLsat2	94.6	-47.7	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L35	CLsat1	148.1	CLsat2	97.3	-50.8	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L36.1	CLsat1	145.3	CLsat2	95.5	49.8	SEGMENT_RESOLVED	CLsat1
L36.2	CLsat1	130.5	CLsat2	84.8	45.7	SEGMENT_RESOLVED	CLsat1
L36.3	CLsat1	149.9	CLsat2	95.9	54	SEGMENT_RESOLVED	CLsat1
L37	CLsat1	150.3	CLsat2	92.5	-57.8	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L38	CLsat1	145.4	CLsat2	95.4	-50	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L39	CLsat1	145.6	CLsat2	96.2	-49.4	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L40	CLsat1	140	CLsat2	89	-51	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L41	CLsat1	136.1	CLsat2	87.5	-48.6	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L42	CLsat1	135.2	CLsat2	86.4	-48.8	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L43	CLsat1	144.5	CLsat2	87.8	-56.7	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L44	CLsat1	136	CLsat2	89.6	-46.4	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L45	CLsat1	137.5	CLsat2	88.3	-49.2	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L46	CLsat1	136.8	CLsat2	87.2	-49.6	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L47	CLsat1	145.6	CLsat2	93.1	-52.5	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L48	CLsat1	142.5	CLsat2	91.5	-51	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L49	CLsat1	137.3	CLsat2	94	-43.3	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L50	CLsat1	138.4	CLsat2	94.9	-43.5	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L51	CLsat1	137.1	CLsat2	92.6	-44.5	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L52	CLsat1	143.6	CLsat2	92.3	-51.3	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L53	CLsat4	123.3	CLsat1	124.5	1.2	UNIQUE_SEED_WITH_COMPETITOR	CLsat4
L54	CLsat1	144.4	CLsat2	91.6	-52.8	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L55	CLsat1	152	CLsat2	95.3	-56.7	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L56	CLsat1	142.2	CLsat2	92.1	-50.1	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L57	CLsat1	138.7	CLsat2	90.2	-48.5	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L58	CLsat1	141.8	CLsat2	92.9	-48.9	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L59	CLsat1	142	CLsat2	91.1	-50.9	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L60	CLsat1	144.2	CLsat2	93.1	-51.1	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
L61	CLsat1	148	CLsat2	96.8	-51.2	UNIQUE_SEED_WITH_COMPETITOR	CLsat1
